"Asset ID","Asset No.",Date,Time(EDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,"Fuel Counter(Gallon)",Acceleration(Miles/Hour/Sec),"Status Mask",Address
47,022081,2015-07-24,08:27:53,0,"North East East","Power Off",3.8,42.0514,-71.0041997,"Brockton Yard","19,168.06",,32799,"140 Oak Hill Way, Brockton, MA 02301"
87,022027,2015-07-24,08:27:55,0,East,"Power Off",4,42.0513088,-71.0036945,"Brockton Yard","17,218.47",,32799,"148 Oak Hill Way, Brockton, MA 02301"
93,022041,2015-07-24,08:28:03,5.7,"North East East",Standard,3.9,42.0517061,-71.0038032,"Brockton Yard","17,056.80",-2.24,40991,"136 Oak Hill Way, Brockton, MA 02301"
48,022062,2015-07-24,08:28:04,31,"South South East",Standard,3.3,42.0551508,-71.0125765,Massachusetts,"17,307.76",6.71,40991,"1513 Main St, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:28:05,20.5,"North West",Standard,3.6,42.4194421,-71.0534706,Massachusetts,0.00,6.71,8223,"523 Ferry St, Everett, MA 02149"
48,022062,2015-07-24,08:28:22,9.5,"South South East",Standard,3.4,42.0533441,-71.011817,Massachusetts,"17,307.76",-35.79,40991,"1615 Main St, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:28:23,25.3,"North West West",Standard,3.8,42.4204236,-71.0554826,Massachusetts,0.00,,8223,"460 Ferry St, Malden, MA 02148"
321,"MB033 - 051073",2015-07-24,08:28:41,25.6,"North West",Standard,3.9,42.4212946,-71.0579727,Massachusetts,0.00,-13.42,8223,"386 Ferry St, Malden, MA 02148"
48,022062,2015-07-24,08:28:41,22.7,"North East East",Standard,3.5,42.0533259,-71.0106604,Massachusetts,"17,307.76",,40991,"19 Sargents Way, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:28:52,0,"North West","Motion Stop",3.9,42.4217195,-71.0585709,Massachusetts,0.00,-26.84,9247,"370 Ferry St, Malden, MA 02148"
48,022062,2015-07-24,08:28:59,25,"North East",Standard,3.6,42.0543868,-71.008794,Massachusetts,"17,307.76",-4.47,40991,"63 Sargents Way, Brockton, MA 02301"
93,022041,2015-07-24,08:29:05,0,"South West West","Motion Stop",3.9,42.0514775,-71.0030698,"Brockton Yard","17,056.80",-2.24,42015,"Appleby St, Brockton, MA 02302"
93,022041,2015-07-24,08:29:06,3,"South West West","Motion Start",3.9,42.0514762,-71.0030876,"Brockton Yard","17,056.80",2.24,42015,"152 Oak Hill Way, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:29:16,6.4,"North West","Motion Start",3.9,42.4217436,-71.0585964,Massachusetts,0.00,31.32,9247,"370 Ferry St, Malden, MA 02148"
48,022062,2015-07-24,08:29:17,10.7,"South East East",Standard,3.7,42.0552188,-71.0071168,Massachusetts,"17,308.02",,40991,"Oak Hill Way, Brockton, MA 02301"
87,022027,2015-07-24,08:29:20,0,East,"Power On",4,42.0513088,-71.0036945,"Brockton Yard","17,218.47",,40991,"148 Oak Hill Way, Brockton, MA 02301"
87,022027,2015-07-24,08:29:25,4.2,"North North West","Motion Start",4,42.0513122,-71.0036967,"Brockton Yard","17,218.47",17.90,42015,"148 Oak Hill Way, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:29:34,33.4,"North East",Standard,4.1,42.4229395,-71.0571927,Massachusetts,0.00,4.47,8223,"241 Cross St, Malden, MA 02148"
48,022062,2015-07-24,08:29:35,24.2,"South South East",Standard,3.8,42.0539098,-71.0061384,Massachusetts,"17,308.02",,40991,"51 Oak Hill Way, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:29:52,28.5,"North North East",Standard,4.2,42.4246407,-71.055535,Massachusetts,0.00,64.87,8223,"389 Cross St, Malden, MA 02148"
48,022062,2015-07-24,08:29:59,21,"South South East",Standard,4,42.0518213,-71.0046459,Massachusetts,"17,308.02",-6.71,40991,"123 Oak Hill Way, Brockton, MA 02301"
